episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,perf/gpu_util_percent2,perf/vram_util_percent2,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
nan,nan,nan,nan,0,25,1500,False,0,1,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-01-58,1602583318,18.91787815093994,18.91787815093994,10175,eclipse,192.168.1.12,18.91787815093994,0,1,092c2_00000,0,[],[],606.805,421.882,15.355,1500,256,1500,1,95.94782608695651,82.34347826086957,0.0,0.00016398819285011476,0.0,9.075233687267448e-05,0.3230434782608695,0.2776870007262165,-0.4658213,0.23695895,-1.5471046
-37.55717704716772,-43.75202367365891,-41.366074846698204,100.0,25,25,2500,False,25,2,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-08,1602583328,9.416228771209717,28.334106922149658,10175,eclipse,192.168.1.12,28.334106922149658,0,2,092c2_00000,0,"[-41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",29.386,8711.611,27.137,2500,10496,2500,41,98.07272727272729,85.19090909090909,0.0,0.00016398819285011476,0.0,9.075233687267448e-05,0.3336363636363636,0.2776870007262165,-0.7372835,-0.003641881,-1.7435335
-37.55717704716772,-43.75202367365891,-41.366074846698204,100.0,0,25,3500,False,25,3,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-16,1602583336,8.075626611709595,36.40973353385925,10175,eclipse,192.168.1.12,36.40973353385925,0,3,092c2_00000,0,"[-41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",19.725,12978.728,15.218,3500,20736,3500,81,96.83333333333334,85.93333333333334,0.0,0.00016398819285011479,0.0,9.075233687267448e-05,0.32999999999999996,0.27768700072621644,-0.74264085,-0.19799507,-1.7770966
-37.55717704716772,-43.75202367365891,-41.366074846698204,100.0,0,25,4500,False,25,4,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-23,1602583343,6.6886372566223145,43.09837079048157,10175,eclipse,192.168.1.12,43.09837079048157,0,4,092c2_00000,0,"[-41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",17.625,14524.53,14.421,4500,30976,4500,121,92.36666666666666,82.71111111111112,0.0,0.00016398819285011479,0.0,9.075233687267448e-05,0.32555555555555554,0.27768700072621644,-0.665774,-0.2631433,-1.5776812
-30.134613374037897,-43.75202367365891,-35.92219950050762,100.0,25,25,5500,False,50,5,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-29,1602583349,6.3914735317230225,49.48984432220459,10175,eclipse,192.168.1.12,49.48984432220459,0,5,092c2_00000,0,"[-30.849308826967906, -30.443351519001688, -30.14888625357431, -30.663380465931386, -30.918930454797398, -30.3254541770135, -30.54749046681784, -30.355243363045357, -30.654739690466737, -30.134613374037897, -30.183178208828846, -30.557318470198904, -30.192807043850117, -30.24983911786595, -30.402757273913018, -30.61788166626723, -30.34605711968881, -30.611779742301355, -30.40862259383541, -30.157184338970414, -30.32040914825834, -30.74889351642629, -30.52567141119985, -30.694775636598116, -30.899529978068948, -41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",17.672,14485.947,15.053,5500,41216,5500,161,92.55714285714285,82.71428571428571,0.0,0.0001639881928501148,0.0,9.075233687267446e-05,0.32571428571428573,0.27768700072621644,-0.65826535,-0.23394002,-1.4091119
-30.134613374037897,-43.75202367365891,-35.92219950050762,100.0,0,25,6500,False,50,6,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-36,1602583356,6.544835329055786,56.034679651260376,10175,eclipse,192.168.1.12,56.034679651260376,0,6,092c2_00000,0,"[-41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282, -30.849308826967906, -30.443351519001688, -30.14888625357431, -30.663380465931386, -30.918930454797398, -30.3254541770135, -30.54749046681784, -30.355243363045357, -30.654739690466737, -30.134613374037897, -30.183178208828846, -30.557318470198904, -30.192807043850117, -30.24983911786595, -30.402757273913018, -30.61788166626723, -30.34605711968881, -30.611779742301355, -30.40862259383541, -30.157184338970414, -30.32040914825834, -30.74889351642629, -30.52567141119985, -30.694775636598116, -30.899529978068948]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",19.732,12974.07,12.7,6500,51456,6500,201,92.5,82.88749999999999,0.0,0.00016398819285011479,0.0,9.075233687267448e-05,0.2925,0.27768700072621644,-0.66187346,-0.2946272,-1.3557714
-29.946913988496565,-43.75202367365891,-34.11326321363299,100.0,25,25,7500,False,75,7,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-43,1602583363,7.593437910079956,63.62811756134033,10175,eclipse,192.168.1.12,63.62811756134033,0,7,092c2_00000,0,"[-30.665530778286314, -30.82391847740264, -30.595438390360165, -30.845469475373996, -30.432634753753323, -30.175448894611193, -30.212802237197074, -31.04551472742118, -30.33817690797314, -30.19409903585999, -30.254758285531278, -30.606482655885298, -30.792671383229475, -31.255522147466518, -30.78719049596738, -30.149731885654056, -30.49921062214042, -30.906197684154805, -30.440666940180396, -30.12721828543341, -30.407704850382423, -30.250974363823914, -29.946913988496565, -30.323085743701967, -30.3074029868073, -41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282, -30.849308826967906, -30.443351519001688, -30.14888625357431, -30.663380465931386, -30.918930454797398, -30.3254541770135, -30.54749046681784, -30.355243363045357, -30.654739690466737, -30.134613374037897, -30.183178208828846, -30.557318470198904, -30.192807043850117, -30.24983911786595, -30.402757273913018, -30.61788166626723, -30.34605711968881, -30.611779742301355, -30.40862259383541, -30.157184338970414, -30.32040914825834, -30.74889351642629, -30.52567141119985, -30.694775636598116, -30.899529978068948]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",19.763,12953.441,20.417,7500,61696,7500,241,95.04444444444444,83.84444444444443,0.0,0.00016398819285011479,0.0,9.075233687267448e-05,0.3255555555555556,0.27768700072621644,-0.6622813,-0.30965564,-1.4185824
-29.946913988496565,-43.75202367365891,-34.11326321363299,100.0,0,25,8500,False,75,8,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-02-53,1602583373,9.264572620391846,72.89269018173218,10175,eclipse,192.168.1.12,72.89269018173218,0,8,092c2_00000,0,"[-41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282, -30.849308826967906, -30.443351519001688, -30.14888625357431, -30.663380465931386, -30.918930454797398, -30.3254541770135, -30.54749046681784, -30.355243363045357, -30.654739690466737, -30.134613374037897, -30.183178208828846, -30.557318470198904, -30.192807043850117, -30.24983911786595, -30.402757273913018, -30.61788166626723, -30.34605711968881, -30.611779742301355, -30.40862259383541, -30.157184338970414, -30.32040914825834, -30.74889351642629, -30.52567141119985, -30.694775636598116, -30.899529978068948, -30.665530778286314, -30.82391847740264, -30.595438390360165, -30.845469475373996, -30.432634753753323, -30.175448894611193, -30.212802237197074, -31.04551472742118, -30.33817690797314, -30.19409903585999, -30.254758285531278, -30.606482655885298, -30.792671383229475, -31.255522147466518, -30.78719049596738, -30.149731885654056, -30.49921062214042, -30.906197684154805, -30.440666940180396, -30.12721828543341, -30.407704850382423, -30.250974363823914, -29.946913988496565, -30.323085743701967, -30.3074029868073]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",28.437,9002.448,23.917,8500,71936,8500,281,98.48181818181818,85.64545454545454,0.0,0.00016398819285011476,0.0,9.075233687267448e-05,0.3309090909090909,0.2776870007262165,-0.6575755,-0.30589277,-1.2406981
-29.946913988496565,-43.75202367365891,-34.11326321363299,100.0,0,25,9500,False,75,9,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-03-03,1602583383,10.292500495910645,83.18519067764282,10175,eclipse,192.168.1.12,83.18519067764282,0,9,092c2_00000,0,"[-41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282, -30.849308826967906, -30.443351519001688, -30.14888625357431, -30.663380465931386, -30.918930454797398, -30.3254541770135, -30.54749046681784, -30.355243363045357, -30.654739690466737, -30.134613374037897, -30.183178208828846, -30.557318470198904, -30.192807043850117, -30.24983911786595, -30.402757273913018, -30.61788166626723, -30.34605711968881, -30.611779742301355, -30.40862259383541, -30.157184338970414, -30.32040914825834, -30.74889351642629, -30.52567141119985, -30.694775636598116, -30.899529978068948, -30.665530778286314, -30.82391847740264, -30.595438390360165, -30.845469475373996, -30.432634753753323, -30.175448894611193, -30.212802237197074, -31.04551472742118, -30.33817690797314, -30.19409903585999, -30.254758285531278, -30.606482655885298, -30.792671383229475, -31.255522147466518, -30.78719049596738, -30.149731885654056, -30.49921062214042, -30.906197684154805, -30.440666940180396, -30.12721828543341, -30.407704850382423, -30.250974363823914, -29.946913988496565, -30.323085743701967, -30.3074029868073]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",35.021,7309.861,27.049,9500,82176,9500,321,98.89999999999999,88.04166666666667,0.0,0.00016398819285011476,0.0,9.075233687267448e-05,0.31416666666666665,0.2776870007262165,-0.7062875,-0.34077966,-1.3807178
-29.946913988496565,-43.75202367365891,-33.248848666488996,100.0,25,25,10500,False,100,10,0ddc0f39531c4340a1b41ac887045369,2020-10-13_11-03-13,1602583393,10.119765043258667,93.30495572090149,10175,eclipse,192.168.1.12,93.30495572090149,0,10,092c2_00000,0,"[-30.717870785206458, -30.435615940983947, -30.811321953500904, -30.229133935468422, -30.800547106786762, -30.521769939644482, -30.72451443686849, -30.731934248553284, -30.665582197152023, -30.87892142143821, -30.24808854876444, -30.540442711322083, -30.920154712055133, -30.812653639841237, -31.052156637834155, -30.50926584964899, -30.80893057032007, -30.657394140937527, -30.540749153904365, -30.344744146556433, -30.345397495223988, -30.496581492133238, -30.63525961631781, -30.750151951399058, -31.210942994563183, -41.655847978284136, -43.75202367365891, -40.277593915482846, -42.52919552101986, -41.486230388617464, -40.806554507959255, -41.82086339570879, -43.716503587214184, -43.4094615152785, -40.87455254368796, -40.97424620123344, -41.23619257354883, -39.772036216666585, -38.57140722129824, -40.990589716548754, -41.230231533936056, -40.96392995955309, -41.28013251464909, -40.97643588595956, -43.117804269467875, -41.48762547378245, -37.55717704716772, -42.561281391350796, -42.02170187077779, -41.08225226460282, -30.849308826967906, -30.443351519001688, -30.14888625357431, -30.663380465931386, -30.918930454797398, -30.3254541770135, -30.54749046681784, -30.355243363045357, -30.654739690466737, -30.134613374037897, -30.183178208828846, -30.557318470198904, -30.192807043850117, -30.24983911786595, -30.402757273913018, -30.61788166626723, -30.34605711968881, -30.611779742301355, -30.40862259383541, -30.157184338970414, -30.32040914825834, -30.74889351642629, -30.52567141119985, -30.694775636598116, -30.899529978068948, -30.665530778286314, -30.82391847740264, -30.595438390360165, -30.845469475373996, -30.432634753753323, -30.175448894611193, -30.212802237197074, -31.04551472742118, -30.33817690797314, -30.19409903585999, -30.254758285531278, -30.606482655885298, -30.792671383229475, -31.255522147466518, -30.78719049596738, -30.149731885654056, -30.49921062214042, -30.906197684154805, -30.440666940180396, -30.12721828543341, -30.407704850382423, -30.250974363823914, -29.946913988496565, -30.323085743701967, -30.3074029868073]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",31.229,8197.41,29.368,10500,92416,10500,361,98.18181818181819,89.93636363636364,0.0,0.00016398819285011476,0.0,9.075233687267448e-05,0.32545454545454544,0.2776870007262165,-0.67846507,-0.21096599,-1.5470612
